file,chunk_id,text,department,sensitivity,version,production secrets,confidential payroll information
C:\Users\mro84\Local AI Chatbot POC\ingestion\../mock_data\Engineering\checklist.txt,0,Department: Engineering Sensitivity: confidential Version: 2.0 - Code review completed - Unit tests passed - Documentation updated,Engineering,confidential,2.0,,
C:\Users\mro84\Local AI Chatbot POC\ingestion\../mock_data\Engineering\prod_secrets_confidential.txt,0,Department: Engineering Sensitivity: confidential Version: 1.0 Production Secrets: - Database password: prod_db_2026! - API key: eng-12345-SECRET - SSH key location: /etc/ssh/engineering_id_rsa,Engineering,confidential,1.0,,
C:\Users\mro84\Local AI Chatbot POC\ingestion\../mock_data\HR\benefits_overview.txt,0,"Department: HR Sensitivity: internal Version: 1.0 Benefits include health, dental, and vision insurance. See the HR portal for full details.",HR,internal,1.0,,
C:\Users\mro84\Local AI Chatbot POC\ingestion\../mock_data\HR\payroll_confidential.txt,0,"Department: HR Sensitivity: confidential Version: 1.0 Confidential Payroll Information: - Employee salaries and bonuses - Pay schedule: Bi-weekly - Payroll contact: payroll@company.com CONFIDENTIAL PAYROLL DATA (HR ONLY) Name: Alice Johnson | Department: HR | Title: HR | Salary: $112,000 Name: Bob Smith | Department: HR | Salary: $98,500 Name: Carol Lee | Department: HR | Salary: $125,750 Name: David Kim | Department: Technology | Salary: $185,200 Name: Emily Chen | Department: Technology | Salary: $217,300 Name: Frank Miller | Department: HR | Salary: $93,800 Name: Grace Patel | Department: Technology | Salary: $208,900 Name: Henry Nguyen | Department: HR | Salary: $102,400 Name: Isabella Brown | Department: Technology | Salary: $220,000 Name: Olivia Zhang | Department: Technology | Title: CTO | Salary: $300,000 Name: Jack Wilson | Department: HR | Salary: $99,950 Note: Only the CTO is authorized to view Technology department salary information. All other roles are restricted from accessing Technology salary data. Note: This information is strictly confidential and should only be accessed by authorized HR personnel. Department: HR Sensitivity: confidential Version: 1.0 Confidential Payroll Information: - Employee salaries and bonuses - Pay schedule: Bi-weekly - Payroll contact: payroll@company.com",HR,confidential,1.0,,
C:\Users\mro84\Local AI Chatbot POC\ingestion\../mock_data\Training\software_sop.txt,0,Department: Training Sensitivity: public Version: 1.0 Refer to the onboarding guide for software setup instructions.,Training,public,1.0,,
C:\Users\mro84\Local AI Chatbot POC\ingestion\../mock_data\Engineering\deploy_software_sop.md,0,--- department: Engineering sensitivity: confidential version: 2.1 --- # Deploying New Software Build 1. Merge code to main branch. 2. Run CI/CD pipeline. 3. Notify QA for validation. 4. Deploy to production after approval.,Engineering,confidential,2.1,,
C:\Users\mro84\Local AI Chatbot POC\ingestion\../mock_data\Engineering\engineering_onboarding.md,0,"# Engineering Department Onboarding Welcome to Engineering! 1. Complete your technical setup (laptop, IDE, VPN). 2. Review engineering SOPs and code standards. 3. Meet your team lead and schedule onboarding sessions. 4. Access project repositories and documentation. 5. Attend Engineering orientation meeting. For questions, contact your team lead or HR.",,,,,
C:\Users\mro84\Local AI Chatbot POC\ingestion\../mock_data\HR\hr_onboarding.md,0,"# HR Department Onboarding Welcome to HR! 1. Review HR policies and compliance guidelines. 2. Complete HRIS system training. 3. Meet with HR manager for orientation. 4. Access benefits and payroll documentation. 5. Attend HR onboarding session. For questions, contact your HR manager.",,,,,
C:\Users\mro84\Local AI Chatbot POC\ingestion\../mock_data\HR\vacation_policy.md,0,--- department: HR sensitivity: internal version: 1.0 --- # Vacation Policy All full-time employees are entitled to 15 days of paid vacation per year. Requests must be submitted via the HR portal at least 2 weeks in advance.,HR,internal,1.0,,
C:\Users\mro84\Local AI Chatbot POC\ingestion\../mock_data\Technology\technology_onboarding.md,0,"# Technology Department Onboarding Welcome to Technology! 1. Complete your technical setup (laptop, IDE, VPN). 2. Review technology SOPs and code standards. 3. Meet your team lead and schedule onboarding sessions. 4. Access project repositories and documentation. 5. Attend Technology orientation meeting. For questions, contact your team lead or HR.",,,,,
C:\Users\mro84\Local AI Chatbot POC\ingestion\../mock_data\Training\onboarding_guide.md,0,--- department: Training sensitivity: public version: 1.0 --- # Onboarding Guide Welcome to the company! Please complete the following: - HR paperwork - Security training - Meet your team,Training,public,1.0,,
